time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-06 00:00:00+00:00,10,5,0,0
2026-09-07 00:00:00+00:00,4,4,0,0
2026-09-08 00:00:00+00:00,7,5,1,1
2026-09-09 00:00:00+00:00,16,9,0,0
2026-09-10 00:00:00+00:00,24,8,13,3
2026-09-11 00:00:00+00:00,10,10,0,0
2026-09-12 00:00:00+00:00,8,8,0,0
2026-09-13 00:00:00+00:00,5,5,0,0
2026-09-14 00:00:00+00:00,3,3,0,0
2026-09-15 00:00:00+00:00,15,9,1,1
2026-09-16 00:00:00+00:00,23,13,0,0
2026-09-17 00:00:00+00:00,5,3,1,1
2026-09-18 00:00:00+00:00,14,9,0,0
2026-09-19 00:00:00+00:00,4,4,3,2
